Famille;Sous famille;Désignation;Fournisseur;Fabricant;Ref fournisseur;tenu en stock;Conditionnement;Multiple cde;Unité Qte; Ancien Prix/U HT ;Prix/U HT;unité / prix;Coeff conversion;date prix
Profil Alu;;TRAVERSE CINT.USIN.2600;ARCELOR (BERTON SICARD);INSTALLUX;597-C4-U;Non;1;;;;;;;
Profil Alu;;*PORTE OLIV GUID LAT COU;ARCELOR (BERTON SICARD);INSTALLUX;598;Non;1;;;;;;;
Profil Alu;;PORTE OLIVE GUID SUP COU;ARCELOR (BERTON SICARD);INSTALLUX;599;Non;1;;;;;;;
Profil Alu;;MONTANT 140X115;ARCELOR (BERTON SICARD);INSTALLUX;601;Non;5;;;;;;;
profil alu;EMBOUT;EMBOUT GOUTTE D EAU;ARCELOR (BERTON SICARD);INSTALLUX;602;Non;10;;;;;;;
profil alu;;LAME ‘Z’ 110X20;ARCELOR (BERTON SICARD);INSTALLUX;607;Non;6,5;;;;;;;
Profil Alu;;PETITE TRAVERSE;ARCELOR (BERTON SICARD);INSTALLUX;608;Non;6,5;;;;;;;
Profil Alu;;PROFIL DE BATTUE;ARCELOR (BERTON SICARD);INSTALLUX;610;Non;5;;;;;;;
Profil Alu;;LAME 100X20;ARCELOR (BERTON SICARD);INSTALLUX;611;Non;6,5;;;;;;;
Profil Alu;;BARREAU 100X20;ARCELOR (BERTON SICARD);INSTALLUX;612;Non;6,5;;;;;;;
profil Alu;;LAME 200X20;ARCELOR (BERTON SICARD);INSTALLUX;613;Non;6,5;;;;;;;
Profil Alu;;TRAVERSE HAUTE;ARCELOR (BERTON SICARD);INSTALLUX;615;Non;6,5;;;;;;;
Profil Alu;;CHAPEAU GENDARME 1420;ARCELOR (BERTON SICARD);INSTALLUX;615/C1;Non;1;;;;;;;
Profil Alu;;CHAPEAU GENDARME 2000;ARCELOR (BERTON SICARD);INSTALLUX;615/C2;Non;1;;;;;;;
profil Alu;;CHAPEAU GENDARME 2250;ARCELOR (BERTON SICARD);INSTALLUX;615/C3;Non;1;;;;;;;
Profil Alu;;CHAPEAU GENDARME 2600;ARCELOR (BERTON SICARD);INSTALLUX;615/C4;Non;1;;;;;;;
Profil Alu;;BUTEE PORTILLON;ARCELOR (BERTON SICARD);INSTALLUX;616;Non;1;;;;;;;
Profil Alu;;CACHE RAINURE;ARCELOR (BERTON SICARD);INSTALLUX;620;Non;6,5;;;;;;;
Profil Alu;;CACHE RAINURE;ARCELOR (BERTON SICARD);INSTALLUX;620/5;Non;5;;;;;;;
Profil Alu;;TRAVERSE INTERMEDIAIRE;ARCELOR (BERTON SICARD);INSTALLUX;621;Non;6,5;;;;;;;
Profil Alu;;CHAPEAU GENDARME 1420;ARCELOR (BERTON SICARD);INSTALLUX;621/C1;Non;1;;;;;;;
Profil Alu;;CHAPEAU GENDARME 2000;ARCELOR (BERTON SICARD);INSTALLUX;621/C2;Non;1;;;;;;;
Profil Alu;;CHAPEAU GENDARME 2250;ARCELOR (BERTON SICARD);INSTALLUX;621/C3;Non;1;;;;;;;
profil alu;;CHAPEAU GENDARME 2600;ARCELOR (BERTON SICARD);INSTALLUX;621/C4;Non;1;;;;;;;
Profil Alu;;TRAVERSE INTERMEDIAIRE;ARCELOR (BERTON SICARD);INSTALLUX;621/3;Non;3,2;;;;;;;
Profil Alu;;TRAVERSE BASSE;ARCELOR (BERTON SICARD);INSTALLUX;622;Non;6,5;;;;;;;
Profil Alu;;TRAVERSE BASSE;ARCELOR (BERTON SICARD);INSTALLUX;622/3;Non;3,2;;;;;;;
Profil Alu;;MONTANT D’EXTREMITE;ARCELOR (BERTON SICARD);INSTALLUX;623;Non;6,5;;;;;;;
Profil Alu;;MONTANT D’EXTREMITE;ARCELOR (BERTON SICARD);INSTALLUX;623/4;Non;4;;;;;;;
Profil Alu;;POTEAU 3 DEPARTS;ARCELOR (BERTON SICARD);INSTALLUX;624/5;Non;5;;;;;;;
Profil Alu;;POTEAU DE CLOTURE;ARCELOR (BERTON SICARD);INSTALLUX;625;Non;6,5;;;;;;;
Profil Alu;;TRAVERSE DE CLOTURE;ARCELOR (BERTON SICARD);INSTALLUX;626;Non;6,5;;;;;;;
Profil Alu;;1/2 TRAVERSE 30;ARCELOR (BERTON SICARD);INSTALLUX;627;Non;6,5;;;;;;;
Profil Alu;;1/2 TRAVERSE 30;ARCELOR (BERTON SICARD);INSTALLUX;627/3;Non;3,2;;;;;;;
Profil Alu;;1/2 TRAVERSE 60;ARCELOR (BERTON SICARD);INSTALLUX;628;Non;6,5;;;;;;;
Profil Alu;;1/2 TRAVERSE 60;ARCELOR (BERTON SICARD);INSTALLUX;628/3;Non;3,2;;;;;;;
Profil Alu;;MENEAU 80;ARCELOR (BERTON SICARD);INSTALLUX;629;Non;6,5;;;;;;;
profil alu;;MENEAU 80 CINTRE 2001;ARCELOR (BERTON SICARD);INSTALLUX;629/P3;Non;1;;;;;;;
Profil Alu;PARCLOSE;PARCLOSE REMPL. 2;ARCELOR (BERTON SICARD);INSTALLUX;630;Non;6,5;;;;;;;
